"1-bit reduction","32-bit reduction","accuracy","p"
"0.0","0.0","0.9162","0.0"
"0.08453525641025639","0.0","0.9219","0.005"
"0.14752695221445222","0.0","0.9237","0.01"
"0.19726107226107226","0.0","0.9186","0.015"
"0.23371940559440563","0.0","0.9174","0.02"
"0.2709608100233101","0.0","0.8739","0.025"
"0.3007721445221445","0.0","0.8979","0.03"
"0.3362652972027972","0.0","0.8937","0.035"
"0.3619245337995338","0.0","0.8141","0.04"
"0.3861997377622378","0.0","0.883","0.045"
"0.4213104603729604","0.0","0.6902","0.05"
"0.44757065850815847","0.0","0.6467","0.055"
"0.467930506993007","0.0","0.7376","0.06"
"0.5005645396270396","0.0","0.7225","0.065"
"0.5191943473193473","0.0","0.669","0.07"
"0.5481861888111887","0.0","0.6055","0.075"
"0.5667613636363636","0.0","0.6436","0.08"
"0.5902534965034965","0.0","0.5394","0.085"
"0.605313956876457","0.0","0.501","0.09"
"0.6176974067599068","0.0","0.5111","0.095"
